date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_date,crime_count
2016-06-12,2016,06,12,71.4,49.1,1018.3,10.0,10.5,15.9,25.1,91.0,62.1,0.0,999.9,0,2016-06-12,853
2016-06-11,2016,06,11,82.4,63.1,1012.9,10.0,8.1,12.0,17.1,91.0,63.0,0.1,999.9,0,2016-06-11,815
2016-06-20,2016,06,20,83.4,65.5,1017.3,10.0,11.6,19.0,27.0,91.9,78.1,0.0,999.9,0,2016-06-20,858
2016-06-21,2016,06,21,75.5,50.7,1015.3,10.0,8.7,15.0,19.0,93.0,64.0,0.0,999.9,0,2016-06-21,825
2016-07-02,2016,07,02,65.5,47.8,1020.8,10.0,4.1,12.0,999.9,75.9,54.0,0.0,999.9,0,2016-07-02,758
2016-07-03,2016,07,03,68.0,51.4,1018.4,10.0,6.0,13.0,19.0,77.0,54.0,0.0,999.9,0,2016-07-03,782
2016-07-16,2016,07,16,67.3,56.1,1019.3,10.0,4.4,11.1,999.9,77.0,57.0,0.14,999.9,0,2016-07-16,780
2016-07-01,2016,07,01,68.5,56.1,1015.9,10.0,9.0,15.0,21.0,78.1,61.0,0.0,999.9,0,2016-07-01,969
2016-07-04,2016,07,04,70.8,60.1,1012.6,9.6,6.5,11.1,20.0,79.0,55.0,0.0,999.9,0,2016-07-04,849
2016-07-30,2016,07,30,72.3,65.6,1014.1,10.0,8.3,12.0,999.9,81.0,70.0,0.11,999.9,0,2016-07-30,927
2016-07-31,2016,07,31,72.7,63.9,1016.1,9.9,6.0,9.9,999.9,81.0,64.9,0.0,999.9,0,2016-07-31,813
2016-07-10,2016,07,10,72.4,56.5,1017.4,10.0,3.8,11.1,999.9,82.0,60.1,0.0,999.9,0,2016-07-10,760
2016-07-17,2016,07,17,70.5,59.4,1016.6,10.0,9.6,21.0,28.0,82.9,57.0,0.0,999.9,0,2016-07-17,789
2016-07-29,2016,07,29,73.2,68.8,1012.5,9.0,6.6,13.0,18.1,84.0,70.0,0.66,999.9,0,2016-07-29,802
2016-07-08,2016,07,08,75.9,66.7,1009.1,6.8,8.3,17.1,25.1,86.0,68.0,1.05,999.9,1,2016-07-08,792
2016-07-09,2016,07,09,73.1,58.9,1014.1,10.0,9.8,14.0,999.9,86.0,64.9,0.0,999.9,0,2016-07-09,729
